BBG000CL9JV4|SYNNEXCorp
BBG005DXJS36|TCSGroup(TinkoffBankholder)
BBG000DTT624|AtrionCorp
BBG000BFVXX0|CMSEnergyCorporation
BBG0021PH456|InogenInc
BBG000BY2Y78|Invesco
BBG000BDCM24|VericelCorp
BBG000BH5LT6|Transocean
BBG000C3TKY6|Parsons
BBG000BFV758|ManhattanAssociatesInc
BBG000BRXP69|EdwardsLifesciences
BBG000R23VW8|InphiCorp
BBG000C1XKF6|PinnacleFinancialPartnersIn
BBG004PQN2M2|BMCStockHoldingsInc
BBG000FFC0B3|NewYorkTimes
BBG00KR691K8|CovetrusInc
BBG000CXQTZ3|RavenIndustriesInc
BBG000C0BZD1|Monro
BBG000C4Z6C2|WattsWaterTechnologiesInc
BBG000CQV2N4|ICUMedicalInc
BBG000BX72V8|NetEaseInc
BBG000BR2040|TriNetGroupInc
BBG000QM0RZ4|PrestigeConsumerHealthcareI
BBG000BB1TH9|Fluor
BBG004S641N5|BurlingtonStoresInc
BBG000DW4Q75|AlliantEnergy
BBG000JLC8L8|SimpsonManufacturingCoInc
BBG00341H6M0|GlobalBloodTherapeuticsInc
BBG000BLXT19|ImmunomedicsInc
BBG000BQ87N0|EversourceEnergy
BBG00GFMPRK0|AlticeUSAInc
BBG000C19QW1|ChemedCorp
BBG000BQ74K1|NorthernTrust
BBG000BKXYX5|DeckersOutdoorCorp
BBG000LF8708|TakedaPharmaceuticalCoLtd
BBG000C496P7|ViacomCBSInc.
BBG000C7LMS8|AutoZone
BBG00D0Y81M1|AshlandGlobalHoldingsInc
BBG000R7Z112|DeltaAirLines
BBG000P458P3|Domino’sPizzaInc
BBG000KK1L04|ANIPharmaceuticalsInc
BBG000BPH459|MicrosoftCorporation
BBG000DQTXY6|D.R.Horton
BBG000C30L48|MonolithicPowerSystems
BBG004T7VS53|FoxFactoryHoldingCorp
BBG00B0FS947|WillScotMobileMiniHoldings
BBG000BB8PG1|WRGrace&Co
BBG00LPTHYD5|KontoorBrandsInc
BBG000F02T51|CableOne
BBG000C4HKK2|SkechersU.S.A.Inc
BBG000F86GP6|Moody’s
BBG00SSQFPK6|Aon
BBG000BM2FL9|EnergyTransferLP
BBG000CGQ4F7|Morningstar
BBG000BHY4D9|ProsperityBancshares
BBG000BV4XJ1|UnitedTherapeuticsCorp
BBG000BT3HG5|ZuoraInc
BBG000D7HF89|SonocoProductsCo
BBG000D9H9F1|MyriadGeneticsInc
BBG000K88H58|FTIConsultingInc
BBG000BN8ZK8|DarlingIngredientsInc
BBG000BLFNC0|GreifInc
BBG0088CYPX8|NielsenHoldingsplc
BBG000BB5792|RoyalCaribbeanCruises
BBG000C1S2X2|VertexPharmaceuticals
BBG000BLSL58|InternationalFlavors&Fragrances
BBG006G2JVL2|Alibaba
BBG000BYQ0B1|TTMTechnologiesInc
BBG000BBBNC6|AflacIncorporated
BBG000BJ0932|MonarchCasino&ResortInc
BBG000G3QLY3|AmeripriseFinancial
BBG000BLPBL5|AvalonBayCommunities
BBG00658F3P3|SynchronyFinancial
BBG000BD1HP2|WRBerkley
BBG000RGM5P1|TEConnectivity
BBG000QCW561|VEON
BBG000BKVJK4|Hasbro
BBG008N298Y8|WingstopInc
BBG004KB3S72|EsperionTherapeuticsInc
BBG000BL79J3|UrbanOutfitters
BBG000C3GN47|CabotOil&Gas
BBG004HXD0G8|GlobalNetLeaseInc
BBG000BR3KL6|Parker-Hannifin
BBG000D7RKJ5|EdisonInternational
BBG000BK9W84|Graco
BBG000BZCKH3|MettlerToledo
BBG000BJ26K7|Albemarle
BBG000BMQPL1|KeyCorp
BBG000BPWGR1|NordsonCorp
BBG000BFNR17|AllianceDataSystems
BBG000GX14P2|AeroVironmentInc
BBG000BLN497|SKTelecomCo.
BBG000RTDY25|MSCIInc
BBG000FKJRC5|TheEsteeLauderCompanies
BBG000BVMGF2|TheAllstateCorporation
BBG000BJW241|EagleMaterialsInc
BBG000NWQ9S5|CardiovascularSystemsInc
BBG000WCFV84|LyondellBasell
BBG000BCTLF6|BankofAmericaCorp
BBG00R2NHQ65|OvintivInc.
BBG000BBPFB9|AppliedMaterials
BBG000P5JQX6|eHealthInc
